"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"293330 Vitória da Conquista";-;-;-;22
"293340 Wagner";-;-;-;2
"293345 Wanderley";5;4;5;9
"293350 Wenceslau Guimarães";-;-;-;7
"293360 Xique-Xique";-;-;-;2
"310020 Abaeté";-;-;-;1
"310040 Acaiaca";-;-;-;4
"310050 Açucena";-;3;2;1
"310080 Aguanil";-;-;-;5
"310090 Águas Formosas";-;-;-;1
"310110 Aimorés";-;-;-;3
"310130 Alagoa";2;-;-;-
"310160 Alfenas";2;-;-;4
"310163 Alfredo Vasconcelos";-;-;-;2
"310190 Alpinópolis";-;-;-;2
"310210 Alto Rio Doce";-;-;-;7
"310220 Alvarenga";-;-;-;2
"310230 Alvinópolis";-;-;-;5
"310250 Amparo do Serra";-;3;2;3
"310260 Andradas";-;2;2;4
"310280 Andrelândia";-;-;-;6
"310285 Angelândia";-;4;4;1
"310290 Antônio Carlos";-;-;-;5
"310300 Antônio Dias";2;-;-;3
"310310 Antônio Prado de Minas";-;-;-;4
"310320 Araçaí";-;4;4;-
"310330 Aracitaba";-;-;-;2
"310340 Araçuaí";-;-;-;6
"310350 Araguari";2;6;5;52
"310360 Arantina";3;2;3;-
"310370 Araponga";-;-;-;4
"310375 Araporã";-;-;-;4
"310380 Arapuá";4;3;3;-
"310390 Araújos";5;-;-;-
"310400 Araxá";10;-;-;19
"310420 Arcos";-;-;-;5
"310430 Areado";-;-;-;2
"310450 Arinos";-;2;2;3
"310470 Ataléia";-;-;-;1
"310480 Augusto de Lima";-;2;2;-
"310490 Baependi";-;-;-;3
"310500 Baldim";-;4;4;-
"310510 Bambuí";-;-;-;9
"310520 Bandeira";-;-;-;2
"310550 Barão de Monte Alto";-;3;3;3
"310560 Barbacena";8;9;11;26
"310610 Belmiro Braga";-;-;-;2
"310620 Belo Horizonte";44;39;40;524
"310630 Belo Oriente";-;-;-;16
"310640 Belo Vale";7;8;5;-
"310650 Berilo";-;-;-;1
"310665 Berizal";-;-;-;2
"310660 Bertópolis";1;6;4;2
"310670 Betim";2;4;4;39
"310680 Bias Fortes";-;-;-;3
"310690 Bicas";-;2;2;5
"310710 Boa Esperança";1;-;-;10
"310730 Bocaiúva";-;-;-;9
"310740 Bom Despacho";2;-;-;16
"310750 Bom Jardim de Minas";-;-;-;1
"310770 Bom Jesus do Amparo";1;-;-;1
"310780 Bom Jesus do Galho";-;-;-;3
"310790 Bom Repouso";1;3;3;2
"310800 Bom Sucesso";-;-;-;4
"310810 Bonfim";2;-;-;2
"310825 Bonito de Minas";-;-;-;3
"310830 Borda da Mata";1;3;3;4
"310840 Botelhos";1;1;1;-
"310850 Botumirim";-;-;-;2
"310855 Brasilândia de Minas";-;-;-;1
"310860 Brasília de Minas";2;-;-;5
"310880 Braúnas";-;-;-;2
"310900 Brumadinho";5;-;-;29
"310920 Buenópolis";2;2;2;-
"310930 Buritis";-;-;-;10
"310940 Buritizeiro";-;-;-;4
"310950 Cabo Verde";3;2;2;-
"310960 Cachoeira da Prata";-;-;-;2
"310970 Cachoeira de Minas";-;-;-;3
"310980 Cachoeira Dourada";-;3;2;-
"311000 Caeté";-;-;-;2
"311020 Cajuri";-;-;-;2
"311030 Caldas";-;-;-;7
"311040 Camacho";-;-;-;2
"311050 Camanducaia";1;3;3;2
"311080 Campanário";-;-;-;3
"311090 Campanha";-;1;1;2
"311110 Campina Verde";3;8;8;4
"311115 Campo Azul";-;-;-;4
"311120 Campo Belo";-;-;-;7
"311130 Campo do Meio";-;2;2;-
"311140 Campo Florido";-;-;-;3
"311150 Campos Altos";-;-;-;2
"311160 Campos Gerais";-;-;-;4
"311170 Canaã";-;2;2;-
"311200 Candeias";1;1;1;10
"311210 Caparaó";3;4;4;-
"311220 Capela Nova";-;2;2;-
"311230 Capelinha";-;3;3;-
"311240 Capetinga";-;-;-;2
"311260 Capinópolis";-;-;-;2
"311265 Capitão Andrade";-;3;3;1
"311270 Capitão Enéas";-;1;1;4
"311280 Capitólio";-;-;-;3
"311290 Caputira";-;4;4;-
"311300 Caraí";-;-;-;1
"311310 Caranaíba";-;2;2;-
"311320 Carandaí";-;-;-;6
"311330 Carangola";1;-;-;4
"311340 Caratinga";1;-;-;29
"311350 Carbonita";-;-;-;1
"311370 Carlos Chagas";-;-;-;4
"311380 Carmésia";4;4;2;-
"311390 Carmo da Cachoeira";-;-;-;3
"311400 Carmo da Mata";-;-;-;3
"311410 Carmo de Minas";-;-;-;2
"311420 Carmo do Cajuru";-;5;4;3
"311430 Carmo do Paranaíba";4;4;3;5
"311450 Carmópolis de Minas";-;-;-;1
"311455 Carneirinho";2;3;2;-
"311460 Carrancas";3;6;6;5
"311470 Carvalhópolis";-;-;-;2
"311480 Carvalhos";-;-;-;1
"311500 Cascalho Rico";-;-;-;2
"311510 Cássia";-;-;-;3
"311530 Cataguases";1;-;-;11
"311540 Catas Altas da Noruega";-;-;-;4
"311545 Catuji";-;-;-;3
"311547 Catuti";-;-;-;3
"311560 Cedro do Abaeté";-;3;3;1
"311570 Central de Minas";-;-;-;2
"311580 Centralina";4;7;7;-
"311610 Chapada do Norte";7;5;5;6
"311615 Chapada Gaúcha";4;4;4;3
"311620 Chiador";-;-;-;1
"311630 Cipotânea";2;5;5;6
"311650 Claro dos Poções";1;1;2;9
"311690 Comendador Gomes";-;-;-;2
"311520 Conceição da Barra de Minas";3;3;3;-
"311730 Conceição das Alagoas";-;-;-;2
"311750 Conceição do Mato Dentro";2;2;2;7
"311760 Conceição do Pará";-;-;-;3
"311770 Conceição do Rio Verde";-;-;-;2
"311780 Conceição dos Ouros";-;3;3;2
"311783 Cônego Marinho";-;-;-;1
"311787 Confins";1;1;1;4
"311790 Congonhal";-;2;2;-
"311800 Congonhas";-;-;-;11
"311810 Congonhas do Norte";4;3;3;-
"311830 Conselheiro Lafaiete";4;1;-;18
"311840 Conselheiro Pena";-;-;-;3
"311860 Contagem";18;1;1;51
"311870 Coqueiral";3;3;3;7
"311880 Coração de Jesus";-;-;-;9
"311900 Cordislândia";-;-;-;1
"311920 Coroaci";9;4;3;-
"311930 Coromandel";-;-;-;2
"311940 Coronel Fabriciano";-;-;-;1
"311950 Coronel Murta";6;6;6;4
"311960 Coronel Pacheco";-;-;-;2
"311980 Córrego Danta";-;-;-;2
"311995 Córrego Fundo";3;3;3;-
"312000 Córrego Novo";-;-;-;5
"312010 Couto de Magalhães de Minas";2;4;4;-
"312015 Crisólita";-;-;-;3
"312020 Cristais";4;3;3;1
"312030 Cristália";1;-;-;2
"312040 Cristiano Otoni";-;-;-;2
"312060 Crucilândia";-;3;-;-
"312070 Cruzeiro da Fortaleza";2;2;2;-
"312080 Cruzília";-;-;-;10
"312083 Cuparaque";-;-;-;6
"312087 Curral de Dentro";2;-;-;3
"312090 Curvelo";4;3;3;-
"312100 Datas";6;-;-;3
"312110 Delfim Moreira";-;4;4;3
"312120 Delfinópolis";3;-;-;-
"312125 Delta";-;-;-;2
"312130 Descoberto";-;-;-;2
"312150 Desterro do Melo";-;2;2;-
"312160 Diamantina";-;-;-;10
"312170 Diogo de Vasconcelos";-;4;4;-
"312190 Divinésia";2;2;2;-
"312210 Divino das Laranjeiras";-;-;-;2
"312220 Divinolândia de Minas";-;-;-;3
"312230 Divinópolis";8;4;4;62
"312235 Divisa Alegre";-;-;-;1
"312245 Divisópolis";-;-;-;5
"312247 Dom Bosco";-;-;-;3
"312250 Dom Cavati";-;-;-;3
"312270 Dom Silvério";-;-;-;4
"312290 Dona Eusébia";-;-;-;5
"312300 Dores de Campos";-;-;-;4
"312330 Dores do Turvo";-;-;-;1
"312340 Doresópolis";2;-;-;-
"312350 Douradoquara";-;3;3;-
"312352 Durandé";-;-;-;3
"312370 Engenheiro Caldas";-;-;-;3
"312380 Engenheiro Navarro";-;-;-;3
"312385 Entre Folhas";-;2;-;12
"312390 Entre Rios de Minas";-;-;-;1
"312400 Ervália";-;-;-;1
"312410 Esmeraldas";-;-;-;2
"312420 Espera Feliz";-;-;-;3
"312430 Espinosa";-;-;-;5
"312450 Estiva";-;-;-;3
"312470 Estrela do Indaiá";-;-;-;1
"312480 Estrela do Sul";-;-;-;4
"312490 Eugenópolis";1;1;2;1
"312500 Ewbank da Câmara";-;-;-;2
"312510 Extrema";7;7;7;3
"312520 Fama";-;-;-;1
"312540 Felício dos Santos";-;3;3;-
"312570 Felixlândia";1;3;3;5
"312580 Fernandes Tourinho";-;-;-;2
"312590 Ferros";-;-;-;7
"312595 Fervedouro";-;-;-;4
"312600 Florestal";9;6;6;-
"312610 Formiga";7;5;5;33
"312620 Formoso";3;5;3;-
"312630 Fortaleza de Minas";3;6;3;-
"312640 Fortuna de Minas";-;3;3;-
"312650 Francisco Badaró";4;3;3;3
"312660 Francisco Dumont";-;1;-;2
"312670 Francisco Sá";-;-;2;3
"312675 Franciscópolis";-;3;4;-
"312680 Frei Gaspar";-;-;-;5
"312690 Frei Inocêncio";1;2;2;-
"312700 Fronteira";3;-;-;7
"312705 Fronteira dos Vales";-;-;-;4
"312707 Fruta de Leite";-;-;-;4
"312710 Frutal";-;2;2;7
"312720 Funilândia";-;-;-;2
"312730 Galiléia";3;3;3;-
"312733 Gameleiras";-;2;2;4
"312735 Glaucilândia";-;-;-;2
"312737 Goiabeira";-;-;-;2
"312738 Goianá";-;-;-;3
"312750 Gonzaga";-;-;-;4
"312760 Gouveia";2;4;4;-
"312770 Governador Valadares";43;39;56;149
"312780 Grão Mogol";1;1;1;6
"312790 Grupiara";-;-;-;5
"312800 Guanhães";-;6;-;13
"312810 Guapé";-;3;2;-
"312820 Guaraciaba";-;-;-;4
"312850 Guarará";-;-;-;5
"312860 Guarda-Mor";-;-;-;2
"312870 Guaxupé";-;-;-;3
"312880 Guidoval";-;-;-;5
"312900 Guiricema";2;6;6;-
"312930 Iapu";-;-;-;3
"312950 Ibiá";1;-;-;1
"312960 Ibiaí";-;-;-;2
"312965 Ibiracatu";-;-;-;9
"312970 Ibiraci";-;-;-;2
"312980 Ibirité";1;-;-;2
"312990 Ibitiúra de Minas";-;-;-;2
"313000 Ibituruna";-;-;-;2
"313005 Icaraí de Minas";-;-;-;3
"313010 Igarapé";-;-;-;6
"313020 Igaratinga";2;2;2;-
"313030 Iguatama";-;-;-;2
"313040 Ijaci";-;3;2;3
"313050 Ilicínea";2;2;2;2
"313055 Imbé de Minas";-;-;-;1
"313060 Inconfidentes";-;-;-;2
"313070 Indianópolis";-;2;2;-
"313090 Inhapim";-;-;-;16
"313100 Inhaúma";3;3;3;-
"313115 Ipaba";3;5;9;3
"313120 Ipanema";-;4;4;1
"313130 Ipatinga";4;8;6;20
"313160 Iraí de Minas";-;-;-;1
"313170 Itabira";1;8;8;29
"313180 Itabirinha";-;-;-;4
"313190 Itabirito";-;-;-;15
"313200 Itacambira";-;-;-;3
"313210 Itacarambi";3;-;-;3
"313220 Itaguara";-;-;-;3
"313240 Itajubá";-;-;-;7
"313250 Itamarandiba";-;-;-;4
"313270 Itambacuri";1;-;-;5
"313280 Itambé do Mato Dentro";-;-;-;3
"313290 Itamogi";4;4;4;5
"313300 Itamonte";-;-;-;10
"313310 Itanhandu";-;-;-;2
"313320 Itanhomi";-;-;-;4
"313330 Itaobim";-;-;-;5
"313340 Itapagipe";-;-;-;2
"313360 Itapeva";-;-;-;50
"313370 Itatiaiuçu";-;-;-;13
"313375 Itaú de Minas";-;-;-;3
"313380 Itaúna";4;5;6;4
"313390 Itaverava";-;-;-;5
"313400 Itinga";-;-;-;2
"313410 Itueta";-;-;-;2
"313420 Ituiutaba";8;-;-;31
"313440 Iturama";-;4;4;2
"313450 Itutinga";3;3;3;-
"313460 Jaboticatubas";-;1;1;-
"313470 Jacinto";-;-;-;2
"313480 Jacuí";-;-;-;2
"313490 Jacutinga";-;-;-;2
"313500 Jaguaraçu";-;-;-;1
"313507 Jampruca";-;-;-;2
"313510 Janaúba";6;-;-;30
"313520 Januária";-;1;-;13
"313530 Japaraíba";-;-;-;6
"313535 Japonvar";-;-;-;3
"313540 Jeceaba";-;-;-;6
"313545 Jenipapo de Minas";-;-;-;4
"313550 Jequeri";3;3;3;2
"313560 Jequitaí";2;3;3;-
"313570 Jequitibá";-;2;2;-
"313580 Jequitinhonha";-;-;-;4
"313590 Jesuânia";-;-;-;1
"313600 Joaíma";-;-;-;1
"313610 Joanésia";-;3;2;1
"313620 João Monlevade";-;19;50;19
"313630 João Pinheiro";5;5;5;8
"313640 Joaquim Felício";-;-;-;7
"313652 José Gonçalves de Minas";-;-;-;1
"313657 Josenópolis";2;2;2;3
"313665 Juatuba";3;3;3;2
"313670 Juiz de Fora";7;15;19;117
"313690 Juruaia";-;-;-;2
"313710 Lagamar";-;2;2;-
"313720 Lagoa da Prata";4;5;5;9
"313730 Lagoa dos Patos";6;4;4;4
"313740 Lagoa Dourada";3;6;4;5
"313750 Lagoa Formosa";-;-;-;6
"313753 Lagoa Grande";3;3;3;-
"313760 Lagoa Santa";7;3;63;31
"313770 Lajinha";-;-;-;2
"313780 Lambari";-;1;1;-
"313800 Laranjal";-;-;-;3
"313810 Lassance";-;3;3;2
"313820 Lavras";2;5;1;62
"313830 Leandro Ferreira";-;-;-;4
"313840 Leopoldina";-;-;-;9
"313850 Liberdade";-;4;4;5
"313860 Lima Duarte";4;4;4;-
"313862 Limeira do Oeste";3;2;2;-
"313865 Lontra";-;-;-;4
"313867 Luisburgo";-;-;-;2
"313870 Luminárias";-;-;-;2
"313880 Luz";-;-;-;2
"313890 Machacalis";-;-;-;4
"313900 Machado";1;1;1;4
"313910 Madre de Deus de Minas";-;2;2;-
"313920 Malacacheta";-;-;-;2
"313925 Mamonas";-;2;3;-
"313930 Manga";1;1;1;4
"313940 Manhuaçu";-;1;1;5
"313950 Manhumirim";-;2;2;3
"313960 Mantena";6;6;6;7
"313980 Mar de Espanha";-;-;-;5
"313970 Maravilhas";-;-;-;4
"314000 Mariana";2;3;3;9
"314010 Marilac";-;-;-;6
"314020 Maripá de Minas";-;-;-;5
"314040 Marmelópolis";-;-;-;8
"314050 Martinho Campos";-;4;4;2
"314060 Materlândia";-;-;-;5
"314070 Mateus Leme";-;-;-;9
"317150 Mathias Lobato";-;-;-;6
"314080 Matias Barbosa";3;3;3;3
"314085 Matias Cardoso";-;-;-;8
"314100 Mato Verde";7;6;4;2
"314130 Medeiros";-;-;-;3
"314160 Mercês";-;-;-;2
"314170 Mesquita";-;-;-;6
"314180 Minas Novas";-;-;-;4
"314190 Minduri";1;1;1;1
"314200 Mirabela";-;-;-;5
"314210 Miradouro";1;-;-;-
"314220 Miraí";-;2;-;5
"314225 Miravânia";-;-;-;7
"314230 Moeda";-;-;-;6
"314240 Moema";-;-;-;6
"314260 Monsenhor Paulo";1;-;-;4
"314270 Montalvânia";-;-;-;1
"314280 Monte Alegre de Minas";-;-;-;7
"314290 Monte Azul";-;-;-;1
"314310 Monte Carmelo";-;-;-;9
"314315 Monte Formoso";-;5;5;-
"314320 Monte Santo de Minas";-;-;-;14
"314330 Montes Claros";11;4;4;43
"314345 Montezuma";-;5;3;3
"314350 Morada Nova de Minas";-;-;-;4
"314360 Morro da Garça";-;-;-;2
"314390 Muriaé";-;4;7;35
"314400 Mutum";-;-;-;3
"314420 Nacip Raydan";-;2;2;2
"314430 Nanuque";-;5;3;1
"314435 Naque";-;-;-;4
"314437 Natalândia";-;2;2;-
"314450 Nazareno";-;-;-;2
"314465 Ninheira";1;3;1;10
"314480 Nova Lima";2;3;-;4
"314490 Nova Módica";-;-;-;3
"314500 Nova Ponte";-;-;-;1
"314505 Nova Porteirinha";-;-;-;3
"314520 Nova Serrana";5;7;6;12
"314530 Novo Cruzeiro";-;3;3;8
"314535 Novo Oriente de Minas";-;3;2;9
"314537 Novorizonte";-;-;-;3
"314540 Olaria";-;-;-;1
"314545 Olhos-d'Água";-;-;-;3
"314550 Olímpio Noronha";-;-;-;2
"314560 Oliveira";3;3;3;12
"314585 Oratórios";-;-;-;6
"314590 Ouro Branco";-;-;-;5
"314600 Ouro Fino";-;2;2;4
"314610 Ouro Preto";8;15;12;15
"314620 Ouro Verde de Minas";-;2;3;-
"314625 Padre Carvalho";4;1;1;1
"314630 Padre Paraíso";-;-;-;1
"314650 Pains";-;-;-;3
"314660 Paiva";-;-;-;4
"314670 Palma";-;-;-;1
"314675 Palmópolis";-;4;-;-
"314690 Papagaios";4;4;4;-
"314710 Pará de Minas";11;10;8;28
"314700 Paracatu";-;-;-;7
"314730 Paraisópolis";-;-;-;2
"314760 Passa Quatro";-;1;1;1
"314770 Passa Tempo";-;-;3;-
"314750 Passabém";-;-;-;2
"314790 Passos";11;4;4;24
"314795 Patis";-;-;-;1
"314800 Patos de Minas";-;5;9;36
"314810 Patrocínio";6;10;7;26
"314830 Paula Cândido";-;-;-;2
"314875 Pedra Bonita";-;-;-;2
"314880 Pedra do Anta";-;-;-;2
"314890 Pedra do Indaiá";-;2;4;5
"314915 Pedras de Maria da Cruz";2;-;-;6
"314920 Pedrinópolis";2;4;4;-
"314930 Pedro Leopoldo";1;2;2;7
"314940 Pedro Teixeira";-;-;-;2
"314950 Pequeri";-;-;-;5
"314960 Pequi";-;1;1;2
"314980 Perdizes";-;-;-;3
"314990 Perdões";-;-;-;2
"314995 Periquito";-;-;-;2
"315000 Pescador";-;-;-;4
"315010 Piau";-;-;-;1
"315015 Piedade de Caratinga";-;-;-;8
"315020 Piedade de Ponte Nova";-;4;4;3
"315040 Piedade dos Gerais";-;6;4;-
"315050 Pimenta";-;3;2;-
"315053 Pingo-d'Água";-;-;-;8
"315057 Pintópolis";-;-;-;1
"315070 Pirajuba";-;-;-;2
"315090 Piranguçu";-;6;6;1
"315100 Piranguinho";-;-;-;2
"315120 Pirapora";4;-;8;26
"315130 Piraúba";-;-;-;3
"315140 Pitangui";-;-;-;9
"315150 Piumhi";-;-;-;5
"315160 Planura";-;-;-;2
"315170 Poço Fundo";-;2;2;-
"315180 Poços de Caldas";12;23;25;44
"315200 Pompéu";-;-;-;9
"315210 Ponte Nova";3;4;3;8
"315213 Ponto Chique";-;-;-;7
"315217 Ponto dos Volantes";-;-;-;6
"315220 Porteirinha";-;-;-;1
"315230 Porto Firme";-;-;-;7
"315250 Pouso Alegre";2;2;2;15
"315260 Pouso Alto";-;-;-;1
"315270 Prados";-;-;-;2
"315280 Prata";3;3;3;-
"315290 Pratápolis";-;-;-;6
"315300 Pratinha";-;-;-;1
"315310 Presidente Bernardes";-;-;-;3
"315320 Presidente Juscelino";-;-;-;2
"315340 Presidente Olegário";2;2;2;5
"315360 Prudente de Morais";3;3;3;1
"315370 Quartel Geral";-;-;-;2
"315380 Queluzito";-;-;-;3
"315390 Raposos";-;-;-;2
"315400 Raul Soares";-;-;-;7
"315410 Recreio";-;-;-;1
"315430 Resplendor";-;-;-;8
"315440 Ressaquinha";-;-;-;7
"315445 Riachinho";3;3;2;2
"315450 Riacho dos Machados";-;-;-;2
"315460 Ribeirão das Neves";-;3;107;10
"315470 Ribeirão Vermelho";-;-;1;-
"315480 Rio Acima";-;-;-;4
"315490 Rio Casca";-;-;-;4
"315510 Rio do Prado";-;-;-;2
"315500 Rio Doce";-;-;-;4
"315530 Rio Manso";-;-;-;4
"315540 Rio Novo";-;-;-;3
"315550 Rio Paranaíba";-;-;-;2
"315560 Rio Pardo de Minas";-;-;-;6
"315580 Rio Pomba";-;-;-;8
"315590 Rio Preto";-;-;-;2
"315600 Rio Vermelho";-;2;-;-
"315610 Ritápolis";-;3;3;-
"315620 Rochedo de Minas";-;-;-;2
"315640 Romaria";-;-;-;3
"315645 Rosário da Limeira";-;-;-;2
"315650 Rubelita";3;3;3;8
"315660 Rubim";-;2;2;-
"315670 Sabará";-;-;-;5
"315690 Sacramento";1;1;-;6
"315700 Salinas";-;10;10;-
"315725 Santa Bárbara do Leste";-;3;3;-
"315727 Santa Bárbara do Monte Verde";-;-;-;3
"315730 Santa Bárbara do Tugúrio";-;-;-;2
"315737 Santa Cruz de Salinas";1;1;1;4
"315740 Santa Cruz do Escalvado";-;3;3;-
"315750 Santa Efigênia de Minas";-;2;2;-
"315760 Santa Fé de Minas";-;6;4;4
"315765 Santa Helena de Minas";-;2;2;-
"315770 Santa Juliana";-;-;-;1
"315780 Santa Luzia";-;-;-;14
"315790 Santa Margarida";-;5;5;-
"315810 Santa Maria do Salto";-;-;-;2
"315920 Santa Rita de Caldas";-;-;-;2
"315940 Santa Rita de Ibitipoca";-;-;-;2
"315930 Santa Rita de Jacutinga";-;-;-;2
"315935 Santa Rita de Minas";-;-;-;2
"315950 Santa Rita do Itueto";-;-;-;2
"315960 Santa Rita do Sapucaí";2;-;-;3
"315970 Santa Rosa da Serra";-;2;4;-
"315980 Santa Vitória";6;4;6;2
"315830 Santana da Vargem";-;-;2;3
"315840 Santana de Cataguases";-;-;-;2
"315850 Santana de Pirapama";2;4;3;-
"315860 Santana do Deserto";-;3;3;-
"315870 Santana do Garambéu";3;3;3;1
"315880 Santana do Jacaré";-;-;-;4
"315895 Santana do Paraíso";-;-;-;1
"315900 Santana do Riacho";-;-;-;8
"315910 Santana dos Montes";-;-;-;3
"316000 Santo Antônio do Aventureiro";-;-;-;3
"316010 Santo Antônio do Grama";-;2;2;5
"316020 Santo Antônio do Itambé";-;-;-;1
"316030 Santo Antônio do Jacinto";-;-;-;2
"316040 Santo Antônio do Monte";5;6;6;8
"316045 Santo Antônio do Retiro";-;-;-;2
"316060 Santo Hipólito";-;-;-;3
"316070 Santos Dumont";4;3;3;7
"316080 São Bento Abade";-;-;-;3
"316090 São Brás do Suaçuí";-;-;-;2
"316095 São Domingos das Dores";1;3;2;1
"316100 São Domingos do Prata";2;2;2;-
"316105 São Félix de Minas";-;-;-;4
"316110 São Francisco";-;5;5;4
"316120 São Francisco de Paula";-;-;-;2
"316150 São Geraldo";4;4;4;3
"316160 São Geraldo da Piedade";-;-;-;4
"316170 São Gonçalo do Abaeté";-;-;-;2
"316180 São Gonçalo do Pará";-;-;-;4
"316190 São Gonçalo do Rio Abaixo";2;4;4;3
"312550 São Gonçalo do Rio Preto";4;5;5;-
"316200 São Gonçalo do Sapucaí";-;-;-;3
"316210 São Gotardo";-;3;3;1
"316225 São João da Lagoa";-;2;2;-
"316240 São João da Ponte";-;-;-;4
"316245 São João das Missões";-;-;-;8
"316250 São João del Rei";1;4;3;4
"316257 São João do Manteninha";-;-;-;3
"316260 São João do Oriente";-;-;-;5
"316270 São João do Paraíso";-;-;-;6
"316290 São João Nepomuceno";-;5;4;6
"316292 São Joaquim de Bicas";-;-;-;7
"316294 São José da Barra";2;2;2;-
"316295 São José da Lapa";2;4;4;-
"316300 São José da Safira";-;-;-;5
"316310 São José da Varginha";-;-;-;5
"316320 São José do Alegre";-;-;-;3
"316330 São José do Divino";4;4;5;-
"316340 São José do Goiabal";3;3;3;-
"316350 São José do Jacuri";-;-;-;6
"316370 São Lourenço";2;7;8;5
"316380 São Miguel do Anta";-;3;3;-
"316410 São Pedro do Suaçuí";-;-;-;8
"316420 São Romão";-;-;-;2
"316430 São Roque de Minas";-;2;2;-
"316440 São Sebastião da Bela Vista";-;6;6;-
"316443 São Sebastião da Vargem Alegre";-;-;-;5
"316450 São Sebastião do Maranhão";-;3;2;-
"316470 São Sebastião do Paraíso";1;3;3;12
"316480 São Sebastião do Rio Preto";-;-;-;5
"316520 São Thomé das Letras";-;3;3;-
"316500 São Tiago";1;1;1;-
"316510 São Tomás de Aquino";-;2;2;-
"316530 São Vicente de Minas";-;-;-;1
"316550 Sardoá";-;-;-;4
"316553 Sarzedo";1;2;2;6
"316556 Sem-Peixe";-;-;-;5
"316557 Senador Amaral";-;3;3;-
"316560 Senador Cortes";-;-;-;2
"316600 Senhora de Oliveira";2;4;4;-
"316620 Senhora dos Remédios";-;3;3;4
"316640 Seritinga";-;-;-;1
"316650 Serra Azul de Minas";-;6;6;-
"316660 Serra da Saudade";-;-;-;1
"316680 Serra do Salitre";2;2;2;-
"316670 Serra dos Aimorés";-;-;-;14
"316695 Serranópolis de Minas";-;-;-;1
"316710 Serro";-;-;-;5
"316720 Sete Lagoas";9;4;11;38
"316555 Setubinha";-;-;-;6
"316730 Silveirânia";-;-;-;4
"316750 Simão Pereira";-;-;-;2
"316760 Simonésia";-;-;-;1
"316780 Soledade de Minas";-;-;-;1
"316790 Tabuleiro";-;1;-;5
"316800 Taiobeiras";1;4;2;7
"316810 Tapira";-;-;-;1
"316830 Taquaraçu de Minas";2;2;2;-
"316840 Tarumirim";-;-;-;2
"316850 Teixeiras";-;-;-;2
"316860 Teófilo Otoni";5;6;6;38
"316870 Timóteo";6;4;5;43
"316890 Tiros";-;-;-;2
"316900 Tocantins";2;2;2;5
"316905 Tocos do Moji";-;-;-;1
"316910 Toledo";-;-;-;2
"316920 Tombos";-;18;-;-
"316930 Três Corações";3;3;3;5
"316935 Três Marias";-;-;-;2
"316940 Três Pontas";-;5;5;3
"316950 Tumiritinga";-;-;-;6
"316960 Tupaciguara";-;-;-;10
"316970 Turmalina";-;-;-;3
"316980 Turvolândia";-;-;-;1
"316990 Ubá";8;4;5;30
"317000 Ubaí";-;-;-;4
"317005 Ubaporanga";-;-;-;9
"317010 Uberaba";5;10;6;50
"317020 Uberlândia";6;12;11;114
"317030 Umburatiba";-;3;3;-
"317040 Unaí";6;7;24;63
"317043 União de Minas";-;2;2;-
"317047 Uruana de Minas";-;-;-;2
"317050 Urucânia";-;2;2;1
"317057 Vargem Alegre";-;-;-;5
"317065 Vargem Grande do Rio Pardo";-;-;-;2
"317070 Varginha";1;-;4;30
"317075 Varjão de Minas";-;2;2;-
"317080 Várzea da Palma";3;6;6;4
"317090 Varzelândia";-;-;-;3
"317103 Verdelândia";-;-;-;2
"317107 Veredinha";-;-;-;1
"317110 Veríssimo";-;-;-;3
"317115 Vermelho Novo";-;-;-;2
"317120 Vespasiano";9;-;-;30
"317130 Viçosa";-;4;5;15
"317140 Vieiras";-;-;-;2
"317160 Virgem da Lapa";-;-;-;1
"317180 Virginópolis";-;-;-;1
"317190 Virgolândia";3;4;3;-
"317200 Visconde do Rio Branco";-;-;-;8
"317210 Volta Grande";3;4;3;-
"320010 Afonso Cláudio";-;-;-;1
"320016 Água Doce do Norte";-;-;-;4
"320013 Águia Branca";-;-;-;3
"320030 Alfredo Chaves";-;3;2;-
"320035 Alto Rio Novo";-;3;2;1
"320040 Anchieta";-;-;-;8
"320060 Aracruz";10;8;9;15
"320080 Baixo Guandu";2;3;3;3
"320090 Barra de São Francisco";12;12;12;-
"320100 Boa Esperança";-;-;-;3
"320110 Bom Jesus do Norte";-;3;3;-
"320115 Brejetuba";5;3;4;1
"320120 Cachoeiro de Itapemirim";6;4;6;29
"320130 Cariacica";2;-;2;23
"320140 Castelo";-;-;-;2
"320150 Colatina";7;9;8;26
"320160 Conceição da Barra";-;5;5;-
"320210 Ecoporanga";-;-;-;1
"320225 Governador Lindenberg";-;-;-;12
"320230 Guaçuí";-;-;-;3
"320240 Guarapari";6;1;6;13
"320245 Ibatiba";3;5;3;-
"320250 Ibiraçu";-;-;-;2
"320260 Iconha";-;-;-;1
"320265 Irupi";-;-;-;2
"320270 Itaguaçu";-;-;-;6
"320290 Itarana";-;-;-;5
"320300 Iúna";-;-;-;2
"320305 Jaguaré";-;-;-;3
"320310 Jerônimo Monteiro";-;-;-;1
"320313 João Neiva";-;-;-;6
"320316 Laranja da Terra";-;-;-;10
"320320 Linhares";-;-;-;10
"320335 Marilândia";4;4;4;-
"320340 Mimoso do Sul";1;1;1;4
"320350 Montanha";-;-;-;1
"320360 Mucurici";-;-;-;1
"320380 Muqui";2;1;1;-
